state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
GA,200,2,400,,,23000,6000,,,800,400,400,,3600
GA,200,3,800,,,22200,6200,,,400,400,400,,4200
GA,200,4,1600,,,22600,5200,,,,800,1000,,3400
GA,200,5,800,,,21600,7600,,,200,200,600,,3600
GA,200,6,1600,,,21800,5800,,,200,400,,,4800
GA,200,7,1200,,,23000,5600,,,400,200,600,,3600
GA,200,8,1000,,,23000,6200,,,600,800,600,,2400
GA,200,9,1200,,,23600,4200,,,800,800,600,,3400
GA,200,10,1000,,,22200,5800,,,400,600,1400,,3200
GA,200,11,1400,,,23000,6000,,,600,,,,3600
GA,200,12,600,,,23200,6400,,,600,600,400,,2800
GA,200,13,2000,,,20800,6600,,,200,1000,1000,,3000
GA,200,14,600,,,20200,7000,,,800,200,600,,5200
GA,200,15,2200,,,19600,6200,,,1200,200,200,,5000
GA,200,16,1600,,,24000,3400,,,400,600,600,,4000
GA,200,17,1200,,,22200,4600,,,1200,1600,400,,3400
GA,200,18,800,,,23200,5400,,,800,800,400,,3200
GA,200,19,1200,,,23200,6200,,,,600,600,,2800
GA,200,20,600,,,22600,6600,,,600,600,400,,3200
GA,500,1,1500,,,18500,7000,,,1500,,500,,5500
GA,500,2,500,,,21500,6500,,,1000,,1000,,4000
GA,500,3,1500,,,25500,3000,,,500,,1000,,3000
GA,500,4,1000,,,23500,4000,,,500,2000,500,,3000
GA,500,5,2500,,,23500,4500,,,,,1500,,2500
GA,500,6,1500,,,22000,5000,,,1000,2000,500,,2500
GA,500,7,,,,21000,6000,,,500,2000,500,,4500
GA,500,8,500,,,25000,3500,,,,1000,1000,,3500
GA,500,9,2500,,,20000,6000,,,1000,500,,,4500
GA,500,10,1500,,,20000,5000,,,500,500,1500,,5500
GA,500,11,500,,,21000,4500,,,1500,500,,,6500
GA,500,12,500,,,22500,5500,,,500,,,,5500
GA,500,13,500,,,23000,5500,,,,1500,1000,,3000
GA,500,14,1000,,,23500,6000,,,,1500,,,2500
GA,500,15,500,,,19000,8500,,,500,,1500,,4500
GA,500,16,1500,,,20500,5500,,,1000,500,500,,5000
GA,500,17,2000,,,20000,6000,,,1000,1000,,,4500
GA,500,18,1000,,,22500,3000,,,1500,500,1500,,4500
GA,500,19,,,,24500,5500,,,500,1000,500,,2500
GA,500,20,,,,22000,6500,,,1000,1000,500,,3500
GA,1000,1,3000,,,25000,6000,,,,,,,1000
GA,1000,2,1000,,,27000,3000,,,,,2000,,2000
GA,1000,3,1000,,,23000,5000,,,1000,,2000,,3000
GA,1000,4,2000,,,16000,13000,,,1000,1000,,,2000
GA,1000,5,2000,,,17000,9000,,,,,1000,,6000
GA,1000,6,2000,,,22000,7000,,,1000,,,,3000
GA,1000,7,,,,19000,9000,,,2000,1000,,,4000
